,MAL_ID,Name,English name
0,1,Cowboy Bebop,Cowboy Bebop
1,5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop:The Movie
2,6,Trigun,Trigun
3,7,Witch Hunter Robin,Witch Hunter Robin
4,8,Bouken Ou Beet,Beet the Vandel Buster
5,15,Eyeshield 21,Unknown
6,16,Hachimitsu to Clover,Honey and Clover
7,17,Hungry Heart: Wild Striker,Unknown
8,18,Initial D Fourth Stage,Unknown
9,19,Monster,Monster
10,20,Naruto,Naruto
11,21,One Piece,One Piece
12,22,Tennis no Ouji-sama,The Prince of Tennis
13,23,Ring ni Kakero 1,Unknown
14,24,School Rumble,School Rumble
15,25,Sunabouzu,Desert Punk
16,26,Texhnolyze,Texhnolyze
17,27,Trinity Blood,Trinity Blood
18,28,Yakitate!! Japan,Yakitate!! Japan
19,29,Zipang,Unknown
20,30,Neon Genesis Evangelion,Neon Genesis Evangelion
21,31,Neon Genesis Evangelion: Death & Rebirth,Neon Genesis Evangelion:Death & Rebirth
22,32,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion:The End of Evangelion
23,33,Kenpuu Denki Berserk,Berserk
24,43,Koukaku Kidoutai,Ghost in the Shell
25,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X:Trust and Betrayal
26,45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin
27,46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Samurai X:The Motion Picture
28,47,Akira,AKIRA
29,48,.hack//Sign,.hack//Sign
30,49,Aa! Megami-sama!,Oh! My Goddess
31,50,Aa! Megami-sama! (TV),Ah! My Goddess
32,51,Tenshi Kinryouku,Angel Sanctuary
33,52,Kidou Tenshi Angelic Layer,Battle Doll Angelic Layer
34,53,Ai Yori Aoshi,Ai Yori Aoshi
35,54,Appleseed (Movie),Unknown
36,55,Arc the Lad,Unknown
37,56,Avenger,Unknown
38,57,Beck,Beck:Mongolian Chop Squad
39,58,Blue Gender,Blue Gender
40,59,Chobits,Chobits
41,60,Chrno Crusade,Chrono Crusade
42,61,D.N.Angel,D.N.Angel
43,62,D.C.: Da Capo,D.C.~Da Capo~
44,63,DearS,DearS
45,64,Rozen Maiden,Rozen Maiden
46,65,Rozen Maiden: Träumend,Rozen Maiden:Träumend
47,66,Azumanga Daioh,Azumanga Daioh:The Animation
48,67,Basilisk: Kouga Ninpou Chou,Basilisk
49,68,Black Cat (TV),Black Cat
